Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",79.6519,31.3363,-135.0000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.7299,30.2656,-135.0000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.3889,26.4081,45.0000,top
"C4","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.4826,25.3242,45.0000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.9780,24.7320,135.0000,top
"C6","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.8356,23.6068,135.0000,top
"C7","1µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.2717,27.0849,-135.0000,top
"C8","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.4431,25.9042,-135.0000,top
"C9","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",66.3928,48.6080,90.0000,top
"C10","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.8952,27.5260,-135.0000,top
"C11","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.0956,30.7264,45.0000,top
"FB1","FerriteBead","L0603",95.5520,22.2540,90.0000,top
"J1","HR911105A_C12074","RJ45-TH_HR911105A",83.2940,51.2964,180.0000,top
"J2","J_RMII","PinHeader_2x10_P2.54mm_Vertical",94.7392,14.6220,-90.0000,top
"J3","J_POW","PinHeader_1x03_P2.54mm_Vertical",101.6910,18.9200,180.0000,top
"J4","J_LED","PinHeader_1x02_P2.54mm_Vertical",101.6910,31.0000,0.0000,top
"R1","12.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",80.1319,34.9842,45.0000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",101.5972,33.7241,180.0000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",101.5972,42.0040,0.0000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",101.5972,40.3530,180.0000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.9328,49.3700,0.0000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.9328,47.8460,180.0000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",94.3328,57.2948,-90.0000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",72.5396,57.2440,-90.0000,top
"R9","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",83.5215,36.3967,180.0000,top
"R10","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",80.4029,37.9618,0.0000,top
"R11","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",88.7223,36.3976,180.0000,top
"R12","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",85.6152,37.9339,0.0000,top
"SW1","nRST_SW","SW_PUSH_6mm",65.7940,38.5000,90.0000,top
"U1","LAN8720A","VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias",82.9831,25.5642,-45.0000,top
"Y1","25MHz","01.X.SD.120MMOI025000000",71.8030,31.9710,45.0000,top
