"#","Qty","Reference","Value","Manufacturer Part Number","LCSC"
"1","4","R9,R10,R11,R12","49.9","RC0603FR-0749R9L","C114625"
"2","3","R6,R7,R8","1k","RC0603FR-071KL","C22548"
"3","4","R2,R3,R4,R5","10k","RC0603FR-0710KL","C98220"
"4","1","R1","12.1k","0603WAF1212T5E","C22864"
"5","1","U1","LAN8720A","LAN8742A-CZ-TR","C510876"
"6","2","C10,C11","33pF","CC0603JRNPO9BN330","C107047"
"7","1","C8","470pF","0603CG471J500NT","C36252"
"8","1","C7","1µF","CL10B105KA8NNNC","C29936"
"9","3","C2,C3,C5","100nF","CC0603KRX7R9BB104","C14663"
"10","4","C1,C4,C6,C9","4.7µF","CL10A475KA8NQNC","C69335"
"11","1","FB1","FerriteBead","BLM18PG121SN1D","C14709"
"12","1","Y1","25MHz","01.X.SD.120MMOI025000000","C7462598"
"13","1","J1","HR911105A_C12074","","C12074"
