Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,79.651861,31.33628,-135.0,top
C10,33pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.895181,27.526,-135.0,top
C11,33pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.095581,30.7264,45.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.729867,30.265574,-135.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.388901,26.40812,45.0,top
C4,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.482599,25.324223,45.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,74.977981,24.732,135.0,top
C6,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,73.835561,23.606831,135.0,top
C7,1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.271675,27.084932,-135.0,top
C8,470pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,77.443084,25.904154,-135.0,top
C9,4.7µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,66.392781,48.608,90.0,top
FB1,FerriteBead,L0603,95.551981,22.254,90.0,top
J1,HR911105A_C12074,RJ45-TH_HR911105A,83.293981,51.3464,180.0,top
J2,J_RMII,PinHeader_2x10_P2.54mm_Vertical,83.309181,13.352,-90.0,top
J3,J_POW,PinHeader_1x03_P2.54mm_Vertical,101.690981,21.46,180.0,top
J4,J_LED,PinHeader_1x02_P2.54mm_Vertical,101.690981,29.73,0.0,top
R1,12.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.13193,34.984169,45.0,top
R10,49.9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.402909,37.961771,0.0,top
R11,49.9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.722279,36.397634,180.0,top
R12,49.9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.615192,37.933916,0.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.597181,33.724141,180.0,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.597181,42.004,0.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.597181,40.353,180.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,68.932781,49.37,0.0,top
R6,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,68.932781,47.846,180.0,top
R7,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,94.332781,57.2948,-90.0,top
R8,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.539581,57.244,-90.0,top
R9,49.9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.521504,36.39672,180.0,top
SW1,nRST_SW,SW_PUSH_6mm,68.043981,41.75,90.0,top
U1,LAN8720A,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,82.983084,25.564154,-45.0,top
Y1,25MHz,01.X.SD.120MMOI025000000,71.802981,31.971,45.0,top
